date,datetime,open,high,low,close,volume,openinterest,normal_high_by_point,normal_low_by_point,trending_high_by_point,trending_low_by_point,close_average_percent,is_ma_trending,maybe_buy_signal,maybe_two_by_zero_signal,maybe_dl_break_signal,bar_count_at_signal,slow_ma_distr_percent,fast_ma_distr_percent,trsi,low_trsi,is_dtpl,gain,loss,avg_gain,avg_loss,rs,rsi
2023-12-07 11:00:00,2023-12-07 11:00:00,43762.69,44047.33,42821.1,43273.14,47103.26845,0,,,,,1.3298145477502756,1.0,-1,-1,-1,0.0,20.0,7.0,75.22635630280053,75.22635630280053,1.0,0.0,489.5500000000029,533.926264300303,175.83330739973704,3.0365479225530483,75.22635630280051
2023-12-08 11:00:00,2023-12-08 11:00:00,43273.15,44700.0,43081.1,44170.99,42900.37556,0,,,,,1.3288650112783895,1.0,1,-1,-1,3.0,16.5,7.0,77.42325718071565,75.22635630280053,1.0,897.8499999999985,-0.0,559.9208168502813,163.27378544261296,3.429336897729249,77.42325718071565
2023-12-09 11:00:00,2023-12-09 11:00:00,44171.0,44358.02,43584.51,43713.6,24925.97008,0,,,,,1.3373420627649963,1.0,-1,-1,1,3.0,21.0,20.5,73.83131970549445,73.83131970549445,1.0,0.0,457.3899999999994,519.9264727895469,184.2820864824263,2.8213619821323688,73.83131970549445
2023-12-10 11:00:00,2023-12-10 11:00:00,43713.59,44049.0,43563.0,43789.51,18956.61758,0,,,,,1.3356229066251744,1.0,-1,-1,-1,0.0,22.0,68.0,74.0465234781264,73.83131970549445,1.0,75.91000000000349,-0.0,488.21101044743665,171.11908030511015,2.853048354262673,74.0465234781264
2023-12-11 11:00:00,2023-12-11 11:00:00,43789.5,43804.5,40222.0,41253.4,76663.89804,0,,,,,1.320131642848284,1.0,-1,-1,-1,0.0,27.0,97.0,57.13976683734592,57.13976683734592,1.0,0.0,2536.1100000000006,453.3387954154769,340.0470031404594,1.3331650954977576,57.1397668373459
2023-12-12 11:00:00,2023-12-12 11:00:00,41253.41,42104.12,40680.0,41492.39,42722.69773,0,,,,,1.3463401668745445,1.0,-1,-1,-1,0.0,25.5,93.5,58.11040664596045,57.13976683734592,1.0,238.98999999999796,-0.0,438.02816717151416,315.75793148756946,1.3872277573770404,58.11040664596045
2023-12-13 11:00:00,2023-12-13 11:00:00,41492.38,43475.2,40555.0,42869.03,45865.99773,0,,,44700.0,,1.3448526291177478,1.0,1,-1,-1,7.0,23.5,90.0,63.27035796038447,57.13976683734592,1.0,1376.6399999999994,-0.0,505.07186951640597,293.2037935241716,1.7225966398513464,63.270357960384466
2023-12-14 11:00:00,2023-12-14 11:00:00,42869.03,43420.0,41400.0,43022.26,42047.05709,0,,,,,1.358664221150958,1.0,-1,-1,1,7.0,24.0,78.0,63.80479748738304,58.11040664596045,1.0,153.2300000000032,-0.0,479.9403074080915,272.2606654153022,1.7627970851977388,63.80479748738304
2023-12-15 11:00:00,2023-12-15 11:00:00,43022.26,43080.81,41666.0,41940.3,33421.7932,0,,,,40222.0,1.3379088112693147,1.0,-1,-1,-1,0.0,25.0,94.0,57.44838876611742,57.44838876611742,1.0,0.0,1081.9599999999991,445.65885687894206,330.096332171352,1.3500872728497992,57.44838876611741
2023-12-16 11:00:00,2023-12-16 11:00:00,41940.29,42724.43,41605.0,42278.03,24118.85747,0,,,,,1.3446289651654522,1.0,-1,-1,-1,0.0,25.0,26.5,58.82722208114019,57.44838876611742,1.0,337.7299999999959,-0.0,437.9496528161602,306.5180227305412,1.4287892402371396,58.827222081140185
2023-12-17 11:00:00,2023-12-17 11:00:00,42278.02,42424.07,41252.0,41374.65,27722.11452,0,,,,,1.3478981557099077,1.0,-1,-1,-1,0.0,30.5,59.0,53.804915426105325,53.804915426105325,1.0,0.0,903.3799999999974,406.66753475786305,349.1510211069309,1.1647324801416439,53.804915426105325
2023-12-18 11:00:00,2023-12-18 11:00:00,41374.64,42757.81,40542.93,42657.8,46734.0925,0,44700.0,,,,1.349842823933101,1.0,1,-1,-1,6.0,25.5,63.0,59.14079955281095,53.804915426105325,1.0,1283.1500000000015,-0.0,469.2734251323015,324.2116624564359,1.4474291935607266,59.14079955281094
2023-12-19 11:00:00,2023-12-19 11:00:00,42657.8,43497.0,41811.1,42275.99,40927.86444,0,,,,,1.3581384404133348,1.0,-1,-1,1,6.0,33.0,79.0,57.029898971329445,53.804915426105325,1.0,0.0,381.81000000000495,435.75389476570854,328.3258294238336,1.3271995551808893,57.02989897132944
2023-12-20 11:00:00,2023-12-20 11:00:00,42275.99,44283.0,42206.0,43668.93,48710.2947,0,,,,,1.354696242192886,1.0,-1,-1,-1,0.0,29.0,19.5,62.31463296127823,57.029898971329445,1.0,1392.9400000000023,-0.0,504.1243308538724,304.8739844649884,1.6535498485990556,62.31463296127823
2023-12-21 11:00:00,2023-12-21 11:00:00,43668.92,44242.35,43286.72,43861.8,34624.29384,0,,,,,1.3679886388854112,1.0,-1,-1,-1,0.0,28.5,21.0,62.9932958772666,57.029898971329445,1.0,192.87000000000262,-0.0,481.8918786500245,283.0972712889178,1.7022130819418066,62.9932958772666
2023-12-22 11:00:00,2023-12-22 11:00:00,43861.79,44398.26,43412.54,43969.04,32783.19638,0,,,,40542.93,1.369347470709095,1.0,-1,-1,-1,0.0,28.0,11.0,63.38809889006775,62.31463296127823,1.0,107.23999999999796,-0.0,455.13103017502266,262.8760376254237,1.7313522916970705,63.38809889006774
2023-12-23 11:00:00,2023-12-23 11:00:00,43969.04,43988.68,43291.1,43702.16,16557.1293,0,,,,,1.3449937111331818,1.0,-1,-1,-1,0.0,25.5,28.5,61.62608812274696,61.62608812274696,1.0,0.0,266.8799999999974,422.6216708768067,263.1620349378932,1.6059370835027411,61.62608812274696
2023-12-24 11:00:00,2023-12-24 11:00:00,43702.15,43946.0,42500.0,42991.5,25144.33496,0,,,,,1.3188411452653594,1.0,-1,-1,-1,0.0,25.5,36.5,57.07633884492581,57.07633884492581,0.0,0.0,710.6600000000035,392.4344086713205,295.1261752994725,1.3297173938336941,57.076338844925814
